#;Name;Vorname;Klasse/Tutor;P?;Aufgaben;;;;;;;;;;;;;;;;;;;;;;;;;;Gesamt;;Punktzahl;;Hinweis;Kommentar
;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;;Σ;%;;;Nachschreiber, knapp erreichte/bessere, beste/schlechteste, diff/non-diff;
;;;max. P. →;;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;125;100 %;;;;
1;Bach;Laura;;;5;4;0;1;0;5;2;5;0;5;4;0;5;4;0;1;0;5;2;5;0;5;4;0;0;;62;49,6 %;09;voll befriedigend;knapp schlechter;
2;Baer;Leonie;;;2;4;3;4;4;5;3;3;3;2;4;3;2;4;3;4;4;5;3;3;3;2;4;3;4;;84;67,2 %;09;voll befriedigend;;
3;Beike;Julia;;;2;5;0;3;0;4;4;2;5;2;5;0;2;5;0;3;0;4;4;2;5;2;5;0;0;;64;51,2 %;09;voll befriedigend;;
4;Brauer;Maximilian;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0,0 %;00;ungenügend;schlechteste Klausur;
5;Diederich;Mike;;;5;2;1;1;3;3;0;5;3;5;2;1;5;2;1;1;3;3;0;5;3;5;2;1;3;;65;52,0 %;09;voll befriedigend;;
6;Eberhart;Lisa;;;4;5;2;2;4;5;4;0;4;4;5;2;4;5;2;2;4;5;4;0;4;4;5;2;4;;86;68,8 %;09;voll befriedigend;;
7;Fischer;Maria;;;2;4;0;5;4;5;4;0;2;2;4;0;2;4;0;5;4;5;4;0;2;2;4;0;4;;68;54,4 %;09;voll befriedigend;knapp schlechter;
8;Frankfurter;Katharina;;;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;125;100,0 %;15;voll sehr gut;beste Klausur;
9;Freese;Katrin;;;5;5;4;2;5;3;5;1;5;5;5;4;5;5;4;2;5;3;5;1;5;5;5;4;5;;103;82,4 %;12;voll gut;;
10;Frei;Jana;;;5;5;2;4;3;4;3;5;4;5;5;2;5;5;2;4;3;4;3;5;4;5;5;2;3;;97;77,6 %;11;gut;;
11;Früh;Thorsten;;;5;3;5;2;4;2;2;5;5;5;3;5;5;3;5;2;4;2;2;5;5;5;3;5;4;;96;76,8 %;11;gut;;
12;Fuchs;Jennifer;;;1;5;3;3;2;4;5;2;4;1;5;3;1;5;3;3;2;4;5;2;4;1;5;3;2;;78;62,4 %;09;voll befriedigend;;
13;Glockner;Noah;;;5;3;5;5;4;4;1;5;0;5;3;5;5;3;5;5;4;4;1;5;0;5;3;5;4;;94;75,2 %;11;gut;;
14;Graf;Merle;;;5;5;5;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;;121;96,8 %;15;voll sehr gut;;
15;Herman;Mats;;;4;4;2;3;0;2;0;1;2;4;4;2;4;4;2;3;0;2;0;1;2;4;4;2;0;;56;44,8 %;09;voll befriedigend;knapp erreicht;
16;Himmel;Greta;;;2;5;3;1;2;3;5;0;0;2;5;3;2;5;3;1;2;3;5;0;0;2;5;3;2;;64;51,2 %;09;voll befriedigend;;
17;Hirsch;Sebastian;;;1;0;2;5;3;4;0;2;4;1;0;2;1;0;2;5;3;4;0;2;4;1;0;2;3;;51;40,8 %;09;voll befriedigend;;
18;Jäger;Robert;;;4;5;2;3;5;3;2;4;5;4;5;2;4;5;2;3;5;3;2;4;5;4;5;2;5;;93;74,4 %;10;knapp gut;knapp schlechter;
19;König;Dennis;;;3;4;2;5;2;2;5;4;3;3;4;2;3;4;2;5;2;2;5;4;3;3;4;2;2;;80;64,0 %;09;voll befriedigend;;
20;Mehler;Lukas;;;4;5;5;4;5;2;5;4;5;4;5;5;4;5;5;4;5;2;5;4;5;4;5;5;5;;111;88,8 %;13;knapp sehr gut;;
21;Müller;Diana;;;0;3;1;3;5;0;3;2;5;0;3;1;0;3;1;3;5;0;3;2;5;0;3;1;5;;57;45,6 %;09;voll befriedigend;;
22;Nussbaum;Leon;;;5;2;5;4;3;1;1;4;5;5;2;5;5;2;5;4;3;1;1;4;5;5;2;5;3;;87;69,6 %;09;voll befriedigend;knapp schlechter;
