#;Name;Vorname;Klasse/Tutor;Aufgaben;;;;;;;;;;;;;;;;;;;;;;;;;;Gesamt;;Note;;Hinweis;Kommentar
;;;;1;2;3;4;5;6;7;8;9;10;11;12;;;;;;;;;;;;;;;Σ;%;;;Nachschreiber, knapp erreichte/bessere, beste/schlechteste, diff/non-diff;
;;max. P.→;;5;5;5;5;5;5;5;5;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;;60;100 %;;;;
1;Bach;Laura;;5;4;0;1;0;5;2;5;0;5;4;0;;;;;;;;;;;;;;;31;51,7 %;5;mangelhaft;knapp erreicht;
2;Baer;Leonie;;2;4;3;4;4;5;3;3;3;2;4;3;;;;;;;;;;;;;;;40;66,7 %;5;mangelhaft;;
3;Beike;Julia;;2;5;0;3;0;4;4;2;5;2;5;0;;;;;;;;;;;;;;;32;53,3 %;5;mangelhaft;;
4;Brauer;Maximilian;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0,0 %;6;ungenügend;schlechteste Arbeit;"Das ist wie erwartet die schlechteste Arbeit ;-)"
5;Diederich;Mike;;5;2;1;1;3;3;0;5;3;5;2;1;;;;;;;;;;;;;;;31;51,7 %;5;mangelhaft;knapp erreicht;
6;Eberhart;Lisa;;4;5;2;2;4;5;4;0;4;4;5;2;;;;;;;;;;;;;;;41;68,3 %;5;mangelhaft;;
7;Fischer;Maria;;2;4;0;5;4;5;4;0;2;2;4;0;;;;;;;;;;;;;;;32;53,3 %;5;mangelhaft;;
8;Frankfurter;Katharina;;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;60;100,0 %;5;mangelhaft;beste Arbeit;Toll Kathi, volle Punktzahl!
9;Freese;Katrin;;5;5;4;2;5;3;5;1;5;5;5;4;;;;;;;;;;;;;;;49;81,7 %;5;mangelhaft;;
10;Frei;Jana;;5;5;2;4;3;4;3;5;4;5;5;2;;;;;;;;;;;;;;;47;78,3 %;5;mangelhaft;;
11;Früh;Thorsten;;5;3;5;2;4;2;2;5;5;5;3;5;;;;;;;;;;;;;;;46;76,7 %;5;mangelhaft;;
12;Fuchs;Jennifer;;1;5;3;3;2;4;5;2;4;1;5;3;;;;;;;;;;;;;;;38;63,3 %;5;mangelhaft;;
13;Glockner;Noah;;5;3;5;5;4;4;1;5;0;5;3;5;;;;;;;;;;;;;;;45;75,0 %;5;mangelhaft;;
14;Graf;Merle;;5;5;5;5;5;5;4;4;5;5;5;5;;;;;;;;;;;;;;;58;96,7 %;5;mangelhaft;;
15;Herman;Mats;;4;4;2;3;0;2;0;1;2;4;4;2;;;;;;;;;;;;;;;28;46,7 %;6;ungenügend;;Mats, das ist schon wieder eine 5 geworden, du musst dich nun wirklich mehr anstrengen und im Unterricht endlich aktiv mitarbeiten.
16;Himmel;Greta;;2;5;3;1;2;3;5;0;0;2;5;3;;;;;;;;;;;;;;;31;51,7 %;5;mangelhaft;knapp erreicht;
17;Hirsch;Sebastian;;1;0;2;5;3;4;0;2;4;1;0;2;;;;;;;;;;;;;;;24;40,0 %;6;ungenügend;;
