#;Name;Vorname;Klasse/Tutor;Aufgaben;;;;;;;;;;;;;;;;;;;;;;;;;;Gesamt;;Note;;Hinweis;Kommentar
;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;;Σ;%;;;Nachschreiber, knapp erreichte/bessere, beste/schlechteste, diff/non-diff;
;;max. P.→;;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;125;100 %;;;;
1;Bach;Laura;;5;4;0;1;0;5;2;5;0;5;4;0;5;4;0;1;0;5;2;5;0;5;4;0;0;;62;49,6 %;5;mangelhaft;knapp schlechter;
2;Baer;Leonie;;2;4;3;4;4;5;3;3;3;2;4;3;2;4;3;4;4;5;3;3;3;2;4;3;4;;84;67,2 %;3;befriedigend;;
3;Beike;Julia;;2;5;0;3;0;4;4;2;5;2;5;0;2;5;0;3;0;4;4;2;5;2;5;0;0;;64;51,2 %;4;ausreichend;;
4;Brauer;Maximilian;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0,0 %;6;ungenügend;schlechteste Arbeit;"Das ist wie erwartet die schlechteste Arbeit ;-)"
5;Diederich;Mike;;5;2;1;1;3;3;0;5;3;5;2;1;5;2;1;1;3;3;0;5;3;5;2;1;3;;65;52,0 %;4;ausreichend;;
6;Eberhart;Lisa;;4;5;2;2;4;5;4;0;4;4;5;2;4;5;2;2;4;5;4;0;4;4;5;2;4;;86;68,8 %;3;befriedigend;;
7;Fischer;Maria;;2;4;0;5;4;5;4;0;2;2;4;0;2;4;0;5;4;5;4;0;2;2;4;0;4;;68;54,4 %;4;ausreichend;;
8;Frankfurter;Katharina;;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;125;100,0 %;1;sehr gut;beste Arbeit;Toll Kathi, volle Punktzahl!
9;Freese;Katrin;;5;5;4;2;5;3;5;1;5;5;5;4;5;5;4;2;5;3;5;1;5;5;5;4;5;;103;82,4 %;2;gut;;
10;Frei;Jana;;5;5;2;4;3;4;3;5;4;5;5;2;5;5;2;4;3;4;3;5;4;5;5;2;3;;97;77,6 %;3;befriedigend;;
11;Früh;Thorsten;;5;3;5;2;4;2;2;5;5;5;3;5;5;3;5;2;4;2;2;5;5;5;3;5;4;;96;76,8 %;3;befriedigend;;
12;Fuchs;Jennifer;;1;5;3;3;2;4;5;2;4;1;5;3;1;5;3;3;2;4;5;2;4;1;5;3;2;;78;62,4 %;3;befriedigend;;
13;Glockner;Noah;;5;3;5;5;4;4;1;5;0;5;3;5;5;3;5;5;4;4;1;5;0;5;3;5;4;;94;75,2 %;3;befriedigend;;
14;Graf;Merle;;5;5;5;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;;121;96,8 %;1;sehr gut;;
15;Herman;Mats;;4;4;2;3;0;2;0;1;2;4;4;2;4;4;2;3;0;2;0;1;2;4;4;2;0;;56;44,8 %;5;mangelhaft;;Mats, das ist schon wieder eine 5 geworden, du musst dich nun wirklich mehr anstrengen und im Unterricht endlich aktiv mitarbeiten.
16;Himmel;Greta;;2;5;3;1;2;3;5;0;0;2;5;3;2;5;3;1;2;3;5;0;0;2;5;3;2;;64;51,2 %;4;ausreichend;;
17;Hirsch;Sebastian;;1;0;2;5;3;4;0;2;4;1;0;2;1;0;2;5;3;4;0;2;4;1;0;2;3;;51;40,8 %;5;mangelhaft;;
